image_source,product_name,product_category,price,skin_type,skin_tone
https://imagesmfl.s3.amazonaws.com/foundation_images/1.jpeg,Colorfit Perfect Glow Cushion 22N Light Ivoy,WARDAH,RM42.41,"Dry, Normal",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/2.jpeg,Colorfit Perfect Glow Cushion 23W Warm Ivory,WARDAH,RM42.41,"Dry, Normal",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/3.jpeg,Colorfit Perfect Glow Cushion 32N Neutral beige,WARDAH,RM42.41,"Dry, Normal",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/4.jpeg,Colorfit Perfect Glow Cushion 11C Pink Fair,WARDAH,RM42.41,"Dry, Normal",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/5.jpeg,Lightening Liquid Foundation 03 Warm Beige,WARDAH,RM15.92,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/6.jpeg,Fit Me Matte Liq Foundation SPF 220 Natural Beige,MAYBELLINE,RM36.98,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/7.jpeg,Lightening Liquid Foundation 02 Beige 25 ml,WARDAH,RM15.92,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/8.jpeg,Lightening Liquid Foundation 01 Light Beige 25 ml,WARDAH,RM15.92,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/9.jpeg,Clrfit Velvet Powder Foundation 32N Neutral Beige,WARDAH,RM22.32,"Normal, Oily",Medium
https://imagesmfl.s3.amazonaws.com/foundation_images/10.jpeg,Fit Me Matte Liq Foundation SPF  120 Classic Ivory,MAYBELLINE,RM36.98,"Normal, Oily",Light
https://imagesmfl.s3.amazonaws.com/foundation_images/11.jpeg,Colorfit Perfect Glow Cushion 33W Olive Beige,WARDAH,RM42.41,Normal,Dark
https://imagesmfl.s3.amazonaws.com/foundation_images/12.jpeg,True Match Liquid Foundation N1 Nude Ivory 1pc,L'OREAL PARIS MAKEUP,RM53.13,"Normal, Oily",Light
